ID	adj.P.Val	P.Value	t	B	logFC	ORF
4953	6.55e-07	3.34e-08	-20.719553	9.41514	-1.6854377	YNL200C
3810	6.55e-07	3.35e-08	20.712932	9.4124	0.7769025	YLR017W
3069	6.59e-07	3.38e-08	-20.687553	9.40192	-0.7562265	YJL066C
672	6.60e-07	3.40e-08	20.676345	9.39729	0.8583786	YCR073C
3736	6.61e-07	3.42e-08	20.6615	9.39114	0.8828624	YLL011W
955	6.63e-07	3.44e-08	20.645807	9.38464	0.945441	YDL241W
3441	6.66e-07	3.46e-08	-20.626861	9.37679	-1.1750332	YKL051W
6137	6.68e-07	3.49e-08	20.607132	9.36861	0.8674743	YPR110C
3372	6.75e-07	3.54e-08	20.565444	9.35129	1.1157599	YJR147W
333	6.75e-07	3.54e-08	20.563987	9.35068	1.0150958	YBR104W
5628	6.78e-07	3.58e-08	20.541432	9.3413	1.0235617	YOR287C
2973	6.80e-07	3.60e-08	-20.526505	9.33508	-0.9296221	YIR016W
4745	7.00e-07	3.74e-08	20.424663	9.29253	0.9046453	YMR319C
2196	7.00e-07	3.74e-08	-20.423909	9.29222	-1.1120626	YGL258W-A
4727	7.14e-07	3.82e-08	-20.365409	9.26768	-0.7575198	YMR304W
2620	7.34e-07	3.95e-08	20.282356	9.23272	1.5498151	YHR066W
1110	7.34e-07	3.96e-08	20.276688	9.23033	0.739537	YDR144C
3679	7.37e-07	3.99e-08	20.256302	9.22173	0.9900617	YKR060W
4540	7.39e-07	4.01e-08	20.2424	9.21586	1.0386814	YMR128W
2984	7.42e-07	4.05e-08	20.214959	9.20425	0.8404832	YIR026C
3566	7.42e-07	4.07e-08	20.205406	9.20021	1.4171537	YKL172W
3823	7.42e-07	4.08e-08	-20.199594	9.19775	-0.8772093	YLR030W
2559	7.42e-07	4.08e-08	-20.199	9.19749	-1.2052315	YHR008C
2345	7.42e-07	4.09e-08	-20.189502	9.19347	-0.9177402	YGR143W
4637	7.49e-07	4.16e-08	20.149489	9.1765	0.9209872	YMR217W
4148	7.49e-07	4.16e-08	-20.146583	9.17526	-0.820484	YLR350W
2379	7.49e-07	4.17e-08	20.141614	9.17315	1.1529528	YGR177C
5127	7.55e-07	4.21e-08	-20.114996	9.16184	-1.0766667	YNR034W
478	7.58e-07	4.24e-08	20.095174	9.1534	1.1268148	YBR247C
1468	7.61e-07	4.27e-08	20.079148	9.14658	1.4187172	YDR496C
1717	7.76e-07	4.37e-08	-20.021344	9.12191	-1.2290353	YER103W
2619	7.76e-07	4.38e-08	20.012313	9.11805	0.7258341	YHR065C
818	7.84e-07	4.44e-08	-19.977104	9.10299	-1.4263004	YDL110C
1740	7.84e-07	4.46e-08	19.96982	9.09987	1.3357378	YER126C
4490	7.87e-07	4.49e-08	-19.952936	9.09263	-1.0769038	YMR081C
2696	7.90e-07	4.52e-08	-19.934402	9.08468	-2.299923	YHR139C
1370	7.90e-07	4.53e-08	19.928813	9.08228	0.9499255	YDR398W
1335	7.91e-07	4.55e-08	19.914764	9.07624	1.3432154	YDR365C
2236	7.91e-07	4.56e-08	19.909124	9.07382	1.6298515	YGR035C
3796	7.93e-07	4.59e-08	19.895602	9.06801	0.9519984	YLR003C
225	7.93e-07	4.60e-08	-19.88705	9.06433	-0.7957996	YBR001C
3695	8.18e-07	4.76e-08	-19.80099	9.02722	-0.9482883	YKR076W
1421	8.29e-07	4.84e-08	19.759837	9.00942	1.1446501	YDR449C
5820	8.29e-07	4.86e-08	19.751209	9.00568	0.8599112	YPL081W
3627	8.29e-07	4.87e-08	-19.745468	9.00319	-0.8003753	YKR009C
4146	8.39e-07	4.95e-08	-19.702107	8.98438	-0.8440955	YLR348C
4208	8.39e-07	4.96e-08	19.698395	8.98277	1.0745754	YLR409C
3795	8.46e-07	5.01e-08	19.671708	8.97117	1.1489511	YLR002C
5463	8.47e-07	5.03e-08	-19.661912	8.96691	-1.6724515	YOR120W
2877	8.54e-07	5.09e-08	-19.634397	8.95492	-0.8556175	YIL097W
4649	8.73e-07	5.22e-08	19.569069	8.9264	1.4932566	YMR229C
1640	9.08e-07	5.44e-08	-19.465336	8.88092	-1.1231998	YER037W
4864	9.11e-07	5.48e-08	19.449523	8.87396	0.9303545	YNL112W
1267	9.11e-07	5.49e-08	19.441964	8.87064	0.8973317	YDR300C
